Division No.,Member Name,Constiituency,State,No of Days Member signed the register,StartDate,EndDate
158,Dr. Mahesh Sharma,Gautam Buddha Nagar,Uttar Pradesh,36 ,17-06-2019,06-08-2019
228,Shri Dharambir Singh,Bhiwani-Mahendragarh,Haryana,36 ,17-06-2019,06-08-2019
128,Shri Ashwini Kumar Choubey,Buxar,Bihar,1 ,17-06-2019,06-08-2019
243,Shri Ajay Tamta,Almora,Uttarakhand,36 ,17-06-2019,06-08-2019
39,Shri Rahul Kaswan,Churu,Rajasthan,36 ,17-06-2019,06-08-2019
95,Shri Ramcharan Bohra,Jaipur,Rajasthan,35 ,17-06-2019,06-08-2019
28,Shri Kapil Moreshwar Patil,Bhiwandi,Maharashtra,36 ,17-06-2019,06-08-2019
302,Dr. Shrikant Eknath Shinde,Kalyan,Maharashtra,35 ,17-06-2019,06-08-2019
156,Smt. Poonam  Pramod Mahajan,Mumbai-North-Central,Maharashtra,32 ,17-06-2019,06-08-2019
161,Shri Gopal Chinayya Shetty,Mumbai-North,Maharashtra,37 ,17-06-2019,06-08-2019
16,Smt. Anupriya Patel,Mirzapur,Uttar Pradesh,34 ,17-06-2019,06-08-2019
420,Shri Rajan Baburao Vichare,Thane,Maharashtra,34 ,17-06-2019,06-08-2019
314,Shri Devendra Singh Alias Bhole Singh,Akbarpur,Uttar Pradesh,35 ,17-06-2019,06-08-2019
238,Kunwar Pushpendra Singh Chandel,Hamirpur,Uttar Pradesh,36 ,17-06-2019,06-08-2019
237,Shri Mukesh Rajput,Farrukhabad,Uttar Pradesh,35 ,17-06-2019,06-08-2019
84,Dr. Manoj Rajoria,Karauli-Dholpur,Rajasthan,36 ,17-06-2019,06-08-2019
315,Shri Sukhbir Singh Jaunapuria,Tonk-Sawai Madhopur,Rajasthan,37 ,17-06-2019,06-08-2019
227,Shri Chandra Prakash Joshi,Chittorgarh,Rajasthan,36 ,17-06-2019,06-08-2019
304,Dr. Subhash Ramrao Bhamre,Dhule,Maharashtra,33 ,17-06-2019,06-08-2019
100,Shri Sanjay(Kaka) Ramchandra Patil,Sangli,Maharashtra,26 ,17-06-2019,06-08-2019
317,Shri Hemant Tukaram Godse,Nashik,Maharashtra,35 ,17-06-2019,06-08-2019
355,Shri P V Midhun Reddy,Rajampet,Andhra Pradesh,29 ,17-06-2019,06-08-2019
163,Shri Dipsinh Shankarsinh Rathod,Sabarkantha,Gujarat,37 ,17-06-2019,06-08-2019
233,Shri Mohanbhai Kalyanji Kundariya,Rajkot,Gujarat,34 ,17-06-2019,06-08-2019
150,Dr. Bharatiben Dhirubhai Shiyal,Bhavnagar,Gujarat,36 ,17-06-2019,06-08-2019
25,Shri Ajay (Teni) Misra,Kheri,Uttar Pradesh,36 ,17-06-2019,06-08-2019
320,Shri Srinivas Kesineni,Vijayawada,Andhra Pradesh,36 ,17-06-2019,06-08-2019
234,Shri Rodmal Nagar,Rajgarh,Madhya Pradesh,37 ,17-06-2019,06-08-2019
53,Shri Bidyut Baran Mahato,Jamshedpur,Jharkhand,37 ,17-06-2019,06-08-2019
44,Shri Prathap Simha,Mysore,Karnataka,36 ,17-06-2019,06-08-2019
321,Shri Sumedhanand Saraswati,Sikar,Rajasthan,33 ,17-06-2019,06-08-2019
134,Shri Kaushal Kishore,Mohanlalganj,Uttar Pradesh,36 ,17-06-2019,06-08-2019
134,Smt. Riti Pathak,Sidhi,Madhya Pradesh,36 ,17-06-2019,06-08-2019
281,Shri Arvind Ganpat Sawant,Mumbai South,Maharashtra,9 ,17-06-2019,06-08-2019
159,Shri Ajay Nishad,Muzaffarpur,Bihar,35 ,17-06-2019,06-08-2019
,Shri Om Birla,Kota,Rajasthan,1 ,17-06-2019,06-08-2019
69,Smt. Meenakashi Lekhi,New Delhi,NCT of Delhi,36 ,17-06-2019,06-08-2019
12,Dr. Jitendra Singh,Udhampur,Jammu and Kashmir,35 ,17-06-2019,06-08-2019
242,Shri Jugal Kishore,Jammu,Jammu and Kashmir,37 ,17-06-2019,06-08-2019
155,Smt. Raksha Nikhil Khadse,Raver,Maharashtra,29 ,17-06-2019,06-08-2019
96,Shri Janardan Mishra,Rewa,Madhya Pradesh,31 ,17-06-2019,06-08-2019
305,Shri Vishnu Dayal Ram,Palamu,Jharkhand,37 ,17-06-2019,06-08-2019
