Division No.,Member Name,Constiituency,State,No of Days Member signed the register
229,Shri Vinod Kumar Sonkar,Kaushambi,Uttar Pradesh,20 
27,Shri Bhagwanth Khuba,Bidar,Karnataka,14 
235,Shri Harish Dwivedi,Basti,Uttar Pradesh,15 
43,Shri Rajveer (Raju Bhaiya) Singh,Etah,Uttar Pradesh,19 
439,Shri Bhagwant Mann,Sangrur,Punjab,11 
240,Shri Janardan Singh Sigriwal,Maharajganj,Bihar,20 
158,Dr. Mahesh Sharma,Gautam Buddha Nagar,Uttar Pradesh,18 
228,Shri Dharambir Singh,Bhiwani-Mahendragarh,Haryana,19 
243,Shri Ajay Tamta,Almora,Uttarakhand,16 
39,Shri Rahul Kaswan,Churu,Rajasthan,19 
95,Shri Ramcharan Bohra,Jaipur,Rajasthan,18 
28,Shri Kapil Moreshwar Patil,Bhiwandi,Maharashtra,18 
302,Dr. Shrikant Eknath Shinde,Kalyan,Maharashtra,16 
156,Smt. Poonam  Pramod Mahajan,Mumbai-North-Central,Maharashtra,19 
161,Shri Gopal Chinayya Shetty,Mumbai-North,Maharashtra,20 
16,Smt. Anupriya Patel,Mirzapur,Uttar Pradesh,20 
420,Shri Rajan Baburao Vichare,Thane,Maharashtra,14 
314,Shri Devendra Singh Alias Bhole Singh,Akbarpur,Uttar Pradesh,18 
238,Kunwar Pushpendra Singh Chandel,Hamirpur,Uttar Pradesh,20 
237,Shri Mukesh Rajput,Farrukhabad,Uttar Pradesh,19 
84,Dr. Manoj Rajoria,Karauli-Dholpur,Rajasthan,19 
315,Shri Sukhbir Singh Jaunapuria,Tonk-Sawai Madhopur,Rajasthan,20 
227,Shri Chandra Prakash Joshi,Chittorgarh,Rajasthan,20 
304,Dr. Subhash Ramrao Bhamre,Dhule,Maharashtra,16 
100,Shri Sanjay(Kaka) Ramchandra Patil,Sangli,Maharashtra,12 
317,Shri Hemant Tukaram Godse,Nashik,Maharashtra,19 
355,Shri P V Midhun Reddy,Rajampet,Andhra Pradesh,17 
163,Shri Dipsinh Shankarsinh Rathod,Sabarkantha,Gujarat,20 
233,Shri Mohanbhai Kalyanji Kundariya,Rajkot,Gujarat,20 
150,Dr. Bharatiben Dhirubhai Shiyal,Bhavnagar,Gujarat,19 
25,Shri Ajay (Teni) Misra,Kheri,Uttar Pradesh,17 
320,Shri Srinivas Kesineni,Vijayawada,Andhra Pradesh,18 
234,Shri Rodmal Nagar,Rajgarh,Madhya Pradesh,20 
53,Shri Bidyut Baran Mahato,Jamshedpur,Jharkhand,4 
44,Shri Prathap Simha,Mysore,Karnataka,12 
321,Shri Sumedhanand Saraswati,Sikar,Rajasthan,19 
134,Shri Kaushal Kishore,Mohanlalganj,Uttar Pradesh,20 
134,Smt. Riti Pathak,Sidhi,Madhya Pradesh,20 
281,Shri Arvind Ganpat Sawant,Mumbai South,Maharashtra,20 
159,Shri Ajay Nishad,Muzaffarpur,Bihar,18 
,Shri Om Birla,Kota,Rajasthan,1 
69,Smt. Meenakashi Lekhi,New Delhi,NCT of Delhi,19 
12,Dr. Jitendra Singh,Udhampur,Jammu and Kashmir,19 
242,Shri Jugal Kishore,Jammu,Jammu and Kashmir,19 
155,Smt. Raksha Nikhil Khadse,Raver,Maharashtra,15 
96,Shri Janardan Mishra,Rewa,Madhya Pradesh,20 
